;;;;;;;;
Date;;Visitor/Neutral;PTS;Home/Neutral;PTS;;Notes;Stanley's Predition
Wed Dec 10 2014;Box Score;Miami Heat;82;Denver Nuggets;102;;;0
Wed Dec 10 2014;Box Score;Houston Rockets;93;Golden State Warriors;105;;;1
Wed Dec 10 2014;Box Score;Los Angeles Clippers;103;Indiana Pacers;96;;;1
Wed Dec 10 2014;Box Score;Portland Trail Blazers;82;Minnesota Timberwolves;90;;;1
Wed Dec 10 2014;Box Score;Washington Wizards;91;Orlando Magic;89;;;0
Wed Dec 10 2014;Box Score;New York Knicks;95;San Antonio Spurs;109;;;1
Thu Dec 11 2014;Box Score;Cleveland Cavaliers;94;Oklahoma City Thunder;103;;;1
Thu Dec 11 2014;Box Score;Houston Rockets;113;Sacramento Kings;109;OT;;0
Fri Dec 12 2014;;Orlando Magic;;Atlanta Hawks;;;;0
Fri Dec 12 2014;;New York Knicks;;Boston Celtics;;;;0
Fri Dec 12 2014;;Philadelphia 76ers;;Brooklyn Nets;;;;1
Fri Dec 12 2014;;Portland Trail Blazers;;Chicago Bulls;;;;0
Fri Dec 12 2014;;Charlotte Hornets;;Memphis Grizzlies;;;;1
Fri Dec 12 2014;;Oklahoma City Thunder;;Minnesota Timberwolves;;;;1
Fri Dec 12 2014;;Cleveland Cavaliers;;New Orleans Pelicans;;;;0
Fri Dec 12 2014;;Detroit Pistons;;Phoenix Suns;;;;0
Fri Dec 12 2014;;Los Angeles Lakers;;San Antonio Spurs;;;;0
Fri Dec 12 2014;;Indiana Pacers;;Toronto Raptors;;;;0
Fri Dec 12 2014;;Miami Heat;;Utah Jazz;;;;0
Fri Dec 12 2014;;Los Angeles Clippers;;Washington Wizards;;;;1
Sat Dec 13 2014;;Brooklyn Nets;;Charlotte Hornets;;;;0
Sat Dec 13 2014;;Golden State Warriors;;Dallas Mavericks;;;;0
Sat Dec 13 2014;;Denver Nuggets;;Houston Rockets;;;;1
Sat Dec 13 2014;;Portland Trail Blazers;;Indiana Pacers;;;;1
Sat Dec 13 2014;;Los Angeles Clippers;;Milwaukee Bucks;;;;1
Sat Dec 13 2014;;Atlanta Hawks;;Orlando Magic;;;;1
Sat Dec 13 2014;;Memphis Grizzlies;;Philadelphia 76ers;;;;0
Sat Dec 13 2014;;Detroit Pistons;;Sacramento Kings;;;;1
Sun Dec 14 2014;;San Antonio Spurs;;Denver Nuggets;;;;1
Sun Dec 14 2014;;Chicago Bulls;;Miami Heat;;;;1
Sun Dec 14 2014;;Los Angeles Lakers;;Minnesota Timberwolves;;;;1
Sun Dec 14 2014;;Golden State Warriors;;New Orleans Pelicans;;;;1
Sun Dec 14 2014;;Toronto Raptors;;New York Knicks;;;;0
Sun Dec 14 2014;;Phoenix Suns;;Oklahoma City Thunder;;;;0
Sun Dec 14 2014;;Utah Jazz;;Washington Wizards;;;;0
Mon Dec 15 2014;;Chicago Bulls;;Atlanta Hawks;;;;0
Mon Dec 15 2014;;Charlotte Hornets;;Cleveland Cavaliers;;;;0
Mon Dec 15 2014;;Los Angeles Lakers;;Indiana Pacers;;;;0
Mon Dec 15 2014;;Detroit Pistons;;Los Angeles Clippers;;;;1
Mon Dec 15 2014;;Boston Celtics;;Philadelphia 76ers;;;;0
Mon Dec 15 2014;;Milwaukee Bucks;;Phoenix Suns;;;;0
Mon Dec 15 2014;;San Antonio Spurs;;Portland Trail Blazers;;;;0
Mon Dec 15 2014;;Orlando Magic;;Toronto Raptors;;;;0
Tue Dec 16 2014;;Miami Heat;;Brooklyn Nets;;;;0
Tue Dec 16 2014;;Golden State Warriors;;Memphis Grizzlies;;;;0
Tue Dec 16 2014;;Utah Jazz;;New Orleans Pelicans;;;;1
Tue Dec 16 2014;;Dallas Mavericks;;New York Knicks;;;;0
Tue Dec 16 2014;;Oklahoma City Thunder;;Sacramento Kings;;;;0
Tue Dec 16 2014;;Minnesota Timberwolves;;Washington Wizards;;;;0
Wed Dec 17 2014;;Orlando Magic;;Boston Celtics;;;;1
Wed Dec 17 2014;;Phoenix Suns;;Charlotte Hornets;;;;0
Wed Dec 17 2014;;Atlanta Hawks;;Cleveland Cavaliers;;;;1
Wed Dec 17 2014;;Houston Rockets;;Denver Nuggets;;;;1
Wed Dec 17 2014;;Dallas Mavericks;;Detroit Pistons;;;;0
Wed Dec 17 2014;;Indiana Pacers;;Los Angeles Clippers;;;;0
Wed Dec 17 2014;;Utah Jazz;;Miami Heat;;;;0
Wed Dec 17 2014;;Milwaukee Bucks;;Portland Trail Blazers;;;;0
Wed Dec 17 2014;;Memphis Grizzlies;;San Antonio Spurs;;;;0
Wed Dec 17 2014;;Brooklyn Nets;;Toronto Raptors;;;;0
Thu Dec 18 2014;;New York Knicks;;Chicago Bulls;;;;0
Thu Dec 18 2014;;Oklahoma City Thunder;;Golden State Warriors;;;;0
Thu Dec 18 2014;;New Orleans Pelicans;;Houston Rockets;;;;0
Thu Dec 18 2014;;Milwaukee Bucks;;Sacramento Kings;;;;0
Fri Dec 19 2014;;Minnesota Timberwolves;;Boston Celtics;;;;0
Fri Dec 19 2014;;Brooklyn Nets;;Cleveland Cavaliers;;;;1
Fri Dec 19 2014;;Los Angeles Clippers;;Denver Nuggets;;;;1
Fri Dec 19 2014;;Toronto Raptors;;Detroit Pistons;;;;1
Fri Dec 19 2014;;Oklahoma City Thunder;;Los Angeles Lakers;;;;0
Fri Dec 19 2014;;Chicago Bulls;;Memphis Grizzlies;;;;1
Fri Dec 19 2014;;Washington Wizards;;Miami Heat;;;;0
Fri Dec 19 2014;;Utah Jazz;;Orlando Magic;;;;1
Fri Dec 19 2014;;Charlotte Hornets;;Philadelphia 76ers;;;;0
Fri Dec 19 2014;;Portland Trail Blazers;;San Antonio Spurs;;;;1
Sat Dec 20 2014;;Utah Jazz;;Charlotte Hornets;;;;0
Sat Dec 20 2014;;San Antonio Spurs;;Dallas Mavericks;;;;0
Sat Dec 20 2014;;Indiana Pacers;;Denver Nuggets;;;;0
Sat Dec 20 2014;;Atlanta Hawks;;Houston Rockets;;;;0
Sat Dec 20 2014;;Milwaukee Bucks;;Los Angeles Clippers;;;;1
Sat Dec 20 2014;;Portland Trail Blazers;;New Orleans Pelicans;;;;1
Sat Dec 20 2014;;Phoenix Suns;;New York Knicks;;;;0
Sun Dec 21 2014;;Detroit Pistons;;Brooklyn Nets;;;;0
Sun Dec 21 2014;;Memphis Grizzlies;;Cleveland Cavaliers;;;;0
Sun Dec 21 2014;;Boston Celtics;;Miami Heat;;;;1
Sun Dec 21 2014;;Indiana Pacers;;Minnesota Timberwolves;;;;0
Sun Dec 21 2014;;New Orleans Pelicans;;Oklahoma City Thunder;;;;0
Sun Dec 21 2014;;Philadelphia 76ers;;Orlando Magic;;;;0
Sun Dec 21 2014;;Los Angeles Lakers;;Sacramento Kings;;;;0
Sun Dec 21 2014;;New York Knicks;;Toronto Raptors;;;;0
Sun Dec 21 2014;;Phoenix Suns;;Washington Wizards;;;;0
Mon Dec 22 2014;;Toronto Raptors;;Chicago Bulls;;;;1
Mon Dec 22 2014;;Denver Nuggets;;Charlotte Hornets;;;;0
Mon Dec 22 2014;;Atlanta Hawks;;Dallas Mavericks;;;;0
Mon Dec 22 2014;;Sacramento Kings;;Golden State Warriors;;;;0
Mon Dec 22 2014;;Portland Trail Blazers;;Houston Rockets;;;;0
Mon Dec 22 2014;;Utah Jazz;;Memphis Grizzlies;;;;0
Mon Dec 22 2014;;Los Angeles Clippers;;San Antonio Spurs;;;;0
Tue Dec 23 2014;;Los Angeles Clippers;;Atlanta Hawks;;;;0
Tue Dec 23 2014;;Denver Nuggets;;Brooklyn Nets;;;;0
Tue Dec 23 2014;;Minnesota Timberwolves;;Cleveland Cavaliers;;;;1
Tue Dec 23 2014;;New Orleans Pelicans;;Indiana Pacers;;;;1
Tue Dec 23 2014;;Golden State Warriors;;Los Angeles Lakers;;;;0
Tue Dec 23 2014;;Philadelphia 76ers;;Miami Heat;;;;0
Tue Dec 23 2014;;Charlotte Hornets;;Milwaukee Bucks;;;;1
Tue Dec 23 2014;;Portland Trail Blazers;;Oklahoma City Thunder;;;;1
Tue Dec 23 2014;;Boston Celtics;;Orlando Magic;;;;1
Tue Dec 23 2014;;Dallas Mavericks;;Phoenix Suns;;;;0
Tue Dec 23 2014;;Chicago Bulls;;Washington Wizards;;;;0
Thu Dec 25 2014;;Los Angeles Lakers;;Chicago Bulls;;;;1
Thu Dec 25 2014;;Golden State Warriors;;Los Angeles Clippers;;;;1
Thu Dec 25 2014;;Cleveland Cavaliers;;Miami Heat;;;;1
Thu Dec 25 2014;;Washington Wizards;;New York Knicks;;;;0
Thu Dec 25 2014;;Oklahoma City Thunder;;San Antonio Spurs;;;;0
Fri Dec 26 2014;;Milwaukee Bucks;;Atlanta Hawks;;;;0
Fri Dec 26 2014;;Brooklyn Nets;;Boston Celtics;;;;0
Fri Dec 26 2014;;Los Angeles Lakers;;Dallas Mavericks;;;;0
Fri Dec 26 2014;;Minnesota Timberwolves;;Denver Nuggets;;;;0
Fri Dec 26 2014;;Indiana Pacers;;Detroit Pistons;;;;0
Fri Dec 26 2014;;Houston Rockets;;Memphis Grizzlies;;;;1
Fri Dec 26 2014;;San Antonio Spurs;;New Orleans Pelicans;;;;0
Fri Dec 26 2014;;Charlotte Hornets;;Oklahoma City Thunder;;;;1
Fri Dec 26 2014;;Cleveland Cavaliers;;Orlando Magic;;;;0
Fri Dec 26 2014;;Philadelphia 76ers;;Portland Trail Blazers;;;;0
Fri Dec 26 2014;;Phoenix Suns;;Sacramento Kings;;;;0
Sat Dec 27 2014;;Indiana Pacers;;Brooklyn Nets;;;;0
Sat Dec 27 2014;;New Orleans Pelicans;;Chicago Bulls;;;;0
Sat Dec 27 2014;;Orlando Magic;;Charlotte Hornets;;;;0
Sat Dec 27 2014;;Minnesota Timberwolves;;Golden State Warriors;;;;0
Sat Dec 27 2014;;Toronto Raptors;;Los Angeles Clippers;;;;1
Sat Dec 27 2014;;Memphis Grizzlies;;Miami Heat;;;;1
Sat Dec 27 2014;;Atlanta Hawks;;Milwaukee Bucks;;;;0
Sat Dec 27 2014;;New York Knicks;;Sacramento Kings;;;;0
Sat Dec 27 2014;;Philadelphia 76ers;;Utah Jazz;;;;0
Sat Dec 27 2014;;Boston Celtics;;Washington Wizards;;;;0
Sun Dec 28 2014;;Detroit Pistons;;Cleveland Cavaliers;;;;0
Sun Dec 28 2014;;Oklahoma City Thunder;;Dallas Mavericks;;;;1
Sun Dec 28 2014;;Toronto Raptors;;Denver Nuggets;;;;1
Sun Dec 28 2014;;Phoenix Suns;;Los Angeles Lakers;;;;0
Sun Dec 28 2014;;New York Knicks;;Portland Trail Blazers;;;;0
Sun Dec 28 2014;;Houston Rockets;;San Antonio Spurs;;;;0
Mon Dec 29 2014;;Sacramento Kings;;Brooklyn Nets;;;;1
Mon Dec 29 2014;;Milwaukee Bucks;;Charlotte Hornets;;;;0
Mon Dec 29 2014;;Washington Wizards;;Houston Rockets;;;;1
Mon Dec 29 2014;;Chicago Bulls;;Indiana Pacers;;;;0
Mon Dec 29 2014;;Utah Jazz;;Los Angeles Clippers;;;;0
Mon Dec 29 2014;;Orlando Magic;;Miami Heat;;;;0
Tue Dec 30 2014;;Cleveland Cavaliers;;Atlanta Hawks;;;;0
Tue Dec 30 2014;;Brooklyn Nets;;Chicago Bulls;;;;0
Tue Dec 30 2014;;Washington Wizards;;Dallas Mavericks;;;;0
Tue Dec 30 2014;;Los Angeles Lakers;;Denver Nuggets;;;;0
Tue Dec 30 2014;;Philadelphia 76ers;;Golden State Warriors;;;;0
Tue Dec 30 2014;;San Antonio Spurs;;Memphis Grizzlies;;;;0
Tue Dec 30 2014;;Phoenix Suns;;New Orleans Pelicans;;;;0
Tue Dec 30 2014;;Detroit Pistons;;Orlando Magic;;;;0
Tue Dec 30 2014;;Toronto Raptors;;Portland Trail Blazers;;;;0
Tue Dec 30 2014;;Minnesota Timberwolves;;Utah Jazz;;;;0
Wed Dec 31 2014;;Sacramento Kings;;Boston Celtics;;;;0
Wed Dec 31 2014;;Milwaukee Bucks;;Cleveland Cavaliers;;;;0
Wed Dec 31 2014;;Charlotte Hornets;;Houston Rockets;;;;0
Wed Dec 31 2014;;Miami Heat;;Indiana Pacers;;;;0
Wed Dec 31 2014;;New York Knicks;;Los Angeles Clippers;;;;0
Wed Dec 31 2014;;Phoenix Suns;;Oklahoma City Thunder;;;;0
Wed Dec 31 2014;;New Orleans Pelicans;;San Antonio Spurs;;;;0
Thu Jan 1 2015;;Denver Nuggets;;Chicago Bulls;;;;1
Thu Jan 1 2015;;Sacramento Kings;;Minnesota Timberwolves;;;;1
Fri Jan 2 2015;;Dallas Mavericks;;Boston Celtics;;;;1
Fri Jan 2 2015;;Cleveland Cavaliers;;Charlotte Hornets;;;;0
Fri Jan 2 2015;;Toronto Raptors;;Golden State Warriors;;;;1
Fri Jan 2 2015;;Memphis Grizzlies;;Los Angeles Lakers;;;;0
Fri Jan 2 2015;;Indiana Pacers;;Milwaukee Bucks;;;;1
Fri Jan 2 2015;;Houston Rockets;;New Orleans Pelicans;;;;0
Fri Jan 2 2015;;Detroit Pistons;;New York Knicks;;;;1
Fri Jan 2 2015;;Washington Wizards;;Oklahoma City Thunder;;;;0
Fri Jan 2 2015;;Brooklyn Nets;;Orlando Magic;;;;0
Fri Jan 2 2015;;Philadelphia 76ers;;Phoenix Suns;;;;1
Fri Jan 2 2015;;Atlanta Hawks;;Utah Jazz;;;;0
Sat Jan 3 2015;;Boston Celtics;;Chicago Bulls;;;;1
Sat Jan 3 2015;;Memphis Grizzlies;;Denver Nuggets;;;;0
Sat Jan 3 2015;;Miami Heat;;Houston Rockets;;;;0
Sat Jan 3 2015;;Philadelphia 76ers;;Los Angeles Clippers;;;;1
Sat Jan 3 2015;;Utah Jazz;;Minnesota Timberwolves;;;;0
Sat Jan 3 2015;;Charlotte Hornets;;Orlando Magic;;;;0
Sat Jan 3 2015;;Atlanta Hawks;;Portland Trail Blazers;;;;0
Sat Jan 3 2015;;Washington Wizards;;San Antonio Spurs;;;;0
Sun Jan 4 2015;;Dallas Mavericks;;Cleveland Cavaliers;;;;1
Sun Jan 4 2015;;Sacramento Kings;;Detroit Pistons;;;;1
Sun Jan 4 2015;;Indiana Pacers;;Los Angeles Lakers;;;;0
Sun Jan 4 2015;;Brooklyn Nets;;Miami Heat;;;;1
Sun Jan 4 2015;;Milwaukee Bucks;;New York Knicks;;;;1
Sun Jan 4 2015;;Toronto Raptors;;Phoenix Suns;;;;0
Mon Jan 5 2015;;Charlotte Hornets;;Boston Celtics;;;;1
Mon Jan 5 2015;;Dallas Mavericks;;Brooklyn Nets;;;;0
Mon Jan 5 2015;;Houston Rockets;;Chicago Bulls;;;;0
Mon Jan 5 2015;;Oklahoma City Thunder;;Golden State Warriors;;;;0
Mon Jan 5 2015;;Atlanta Hawks;;Los Angeles Clippers;;;;0
Mon Jan 5 2015;;New York Knicks;;Memphis Grizzlies;;;;1
Mon Jan 5 2015;;Denver Nuggets;;Minnesota Timberwolves;;;;1
Mon Jan 5 2015;;Washington Wizards;;New Orleans Pelicans;;;;1
Mon Jan 5 2015;;Cleveland Cavaliers;;Philadelphia 76ers;;;;0
Mon Jan 5 2015;;Los Angeles Lakers;;Portland Trail Blazers;;;;0
Mon Jan 5 2015;;Indiana Pacers;;Utah Jazz;;;;1
Tue Jan 6 2015;;Phoenix Suns;;Milwaukee Bucks;;;;0
Tue Jan 6 2015;;Detroit Pistons;;San Antonio Spurs;;;;0
Wed Jan 7 2015;;Memphis Grizzlies;;Atlanta Hawks;;;;0
Wed Jan 7 2015;;Boston Celtics;;Brooklyn Nets;;;;0
Wed Jan 7 2015;;Utah Jazz;;Chicago Bulls;;;;1
Wed Jan 7 2015;;New Orleans Pelicans;;Charlotte Hornets;;;;0
Wed Jan 7 2015;;Houston Rockets;;Cleveland Cavaliers;;;;0
Wed Jan 7 2015;;Detroit Pistons;;Dallas Mavericks;;;;0
Wed Jan 7 2015;;Orlando Magic;;Denver Nuggets;;;;0
Wed Jan 7 2015;;Indiana Pacers;;Golden State Warriors;;;;0
Wed Jan 7 2015;;Los Angeles Lakers;;Los Angeles Clippers;;;;1
Wed Jan 7 2015;;Phoenix Suns;;Minnesota Timberwolves;;;;1
Wed Jan 7 2015;;Milwaukee Bucks;;Philadelphia 76ers;;;;0
Wed Jan 7 2015;;Oklahoma City Thunder;;Sacramento Kings;;;;0
Wed Jan 7 2015;;New York Knicks;;Washington Wizards;;;;1
Thu Jan 8 2015;;Houston Rockets;;New York Knicks;;;;0
Thu Jan 8 2015;;Miami Heat;;Portland Trail Blazers;;;;0
Thu Jan 8 2015;;Charlotte Hornets;;Toronto Raptors;;;;0
Fri Jan 9 2015;;Philadelphia 76ers;;Brooklyn Nets;;;;1
Fri Jan 9 2015;;Atlanta Hawks;;Detroit Pistons;;;;0
Fri Jan 9 2015;;Cleveland Cavaliers;;Golden State Warriors;;;;1
Fri Jan 9 2015;;Boston Celtics;;Indiana Pacers;;;;1
Fri Jan 9 2015;;Orlando Magic;;Los Angeles Lakers;;;;0
Fri Jan 9 2015;;Minnesota Timberwolves;;Milwaukee Bucks;;;;1
Fri Jan 9 2015;;Memphis Grizzlies;;New Orleans Pelicans;;;;0
Fri Jan 9 2015;;Utah Jazz;;Oklahoma City Thunder;;;;0
Fri Jan 9 2015;;Denver Nuggets;;Sacramento Kings;;;;0
Fri Jan 9 2015;;Phoenix Suns;;San Antonio Spurs;;;;0
Fri Jan 9 2015;;Chicago Bulls;;Washington Wizards;;;;0
Sat Jan 10 2015;;Milwaukee Bucks;;Chicago Bulls;;;;1
Sat Jan 10 2015;;Brooklyn Nets;;Detroit Pistons;;;;0
Sat Jan 10 2015;;Utah Jazz;;Houston Rockets;;;;0
Sat Jan 10 2015;;Dallas Mavericks;;Los Angeles Clippers;;;;1
Sat Jan 10 2015;;San Antonio Spurs;;Minnesota Timberwolves;;;;0
Sat Jan 10 2015;;Charlotte Hornets;;New York Knicks;;;;1
Sat Jan 10 2015;;Indiana Pacers;;Philadelphia 76ers;;;;0
Sat Jan 10 2015;;Orlando Magic;;Portland Trail Blazers;;;;0
Sat Jan 10 2015;;Boston Celtics;;Toronto Raptors;;;;0
Sun Jan 11 2015;;Washington Wizards;;Atlanta Hawks;;;;0
Sun Jan 11 2015;;Miami Heat;;Los Angeles Clippers;;;;1
Sun Jan 11 2015;;Portland Trail Blazers;;Los Angeles Lakers;;;;0
Sun Jan 11 2015;;Phoenix Suns;;Memphis Grizzlies;;;;0
Sun Jan 11 2015;;Cleveland Cavaliers;;Sacramento Kings;;;;1
Mon Jan 12 2015;;New Orleans Pelicans;;Boston Celtics;;;;1
Mon Jan 12 2015;;Houston Rockets;;Brooklyn Nets;;;;0
Mon Jan 12 2015;;Orlando Magic;;Chicago Bulls;;;;0
Mon Jan 12 2015;;Detroit Pistons;;Toronto Raptors;;;;0
Tue Jan 13 2015;;Minnesota Timberwolves;;Indiana Pacers;;;;1
Tue Jan 13 2015;;Miami Heat;;Los Angeles Lakers;;;;1
Tue Jan 13 2015;;Atlanta Hawks;;Philadelphia 76ers;;;;1
Tue Jan 13 2015;;Cleveland Cavaliers;;Phoenix Suns;;;;1
Tue Jan 13 2015;;Dallas Mavericks;;Sacramento Kings;;;;1
Tue Jan 13 2015;;Golden State Warriors;;Utah Jazz;;;;0
Tue Jan 13 2015;;San Antonio Spurs;;Washington Wizards;;;;1
Wed Jan 14 2015;;Atlanta Hawks;;Boston Celtics;;;;1
Wed Jan 14 2015;;Memphis Grizzlies;;Brooklyn Nets;;;;0
Wed Jan 14 2015;;Washington Wizards;;Chicago Bulls;;;;1
Wed Jan 14 2015;;San Antonio Spurs;;Charlotte Hornets;;;;1
Wed Jan 14 2015;;Dallas Mavericks;;Denver Nuggets;;;;1
Wed Jan 14 2015;;New Orleans Pelicans;;Detroit Pistons;;;;0
Wed Jan 14 2015;;Miami Heat;;Golden State Warriors;;;;1
Wed Jan 14 2015;;Houston Rockets;;Orlando Magic;;;;0
Wed Jan 14 2015;;Los Angeles Clippers;;Portland Trail Blazers;;;;0
Wed Jan 14 2015;;Philadelphia 76ers;;Toronto Raptors;;;;0
Thu Jan 15 2015;;Oklahoma City Thunder;;Houston Rockets;;;;1
Thu Jan 15 2015;;Cleveland Cavaliers;;Los Angeles Lakers;;;;0
Thu Jan 15 2015;;New York Knicks;;Milwaukee Bucks;;;at The O2 London England;1
Fri Jan 16 2015;;Chicago Bulls;;Boston Celtics;;;;0
Fri Jan 16 2015;;Denver Nuggets;;Dallas Mavericks;;;;0
Fri Jan 16 2015;;Detroit Pistons;;Indiana Pacers;;;;0
Fri Jan 16 2015;;Cleveland Cavaliers;;Los Angeles Clippers;;;;1
Fri Jan 16 2015;;Golden State Warriors;;Oklahoma City Thunder;;;;1
Fri Jan 16 2015;;Memphis Grizzlies;;Orlando Magic;;;;1
Fri Jan 16 2015;;New Orleans Pelicans;;Philadelphia 76ers;;;;0
Fri Jan 16 2015;;Minnesota Timberwolves;;Phoenix Suns;;;;0
Fri Jan 16 2015;;Miami Heat;;Sacramento Kings;;;;0
Fri Jan 16 2015;;Portland Trail Blazers;;San Antonio Spurs;;;;0
Fri Jan 16 2015;;Atlanta Hawks;;Toronto Raptors;;;;0
Fri Jan 16 2015;;Los Angeles Lakers;;Utah Jazz;;;;0
Fri Jan 16 2015;;Brooklyn Nets;;Washington Wizards;;;;1
Sat Jan 17 2015;;Washington Wizards;;Brooklyn Nets;;;;0
Sat Jan 17 2015;;Atlanta Hawks;;Chicago Bulls;;;;0
Sat Jan 17 2015;;Indiana Pacers;;Charlotte Hornets;;;;0
Sat Jan 17 2015;;Minnesota Timberwolves;;Denver Nuggets;;;;0
Sat Jan 17 2015;;Philadelphia 76ers;;Detroit Pistons;;;;1
Sat Jan 17 2015;;Golden State Warriors;;Houston Rockets;;;;0
Sat Jan 17 2015;;Portland Trail Blazers;;Memphis Grizzlies;;;;1
Sat Jan 17 2015;;Los Angeles Clippers;;Sacramento Kings;;;;1
Sun Jan 18 2015;;Oklahoma City Thunder;;Orlando Magic;;;;0
Sun Jan 18 2015;;Utah Jazz;;San Antonio Spurs;;;;0
Sun Jan 18 2015;;New Orleans Pelicans;;Toronto Raptors;;;;0
Mon Jan 19 2015;;Detroit Pistons;;Atlanta Hawks;;;;0
Mon Jan 19 2015;;Minnesota Timberwolves;;Charlotte Hornets;;;;0
Mon Jan 19 2015;;Chicago Bulls;;Cleveland Cavaliers;;;;0
Mon Jan 19 2015;;Denver Nuggets;;Golden State Warriors;;;;0
Mon Jan 19 2015;;Indiana Pacers;;Houston Rockets;;;;0
Mon Jan 19 2015;;Boston Celtics;;Los Angeles Clippers;;;;0
Mon Jan 19 2015;;Dallas Mavericks;;Memphis Grizzlies;;;;1
Mon Jan 19 2015;;Toronto Raptors;;Milwaukee Bucks;;;;1
Mon Jan 19 2015;;New Orleans Pelicans;;New York Knicks;;;;0
Mon Jan 19 2015;;Los Angeles Lakers;;Phoenix Suns;;;;0
Mon Jan 19 2015;;Sacramento Kings;;Portland Trail Blazers;;;;0
Mon Jan 19 2015;;Philadelphia 76ers;;Washington Wizards;;;;1
Tue Jan 20 2015;;San Antonio Spurs;;Denver Nuggets;;;;0
Tue Jan 20 2015;;Oklahoma City Thunder;;Miami Heat;;;;0
Wed Jan 21 2015;;Indiana Pacers;;Atlanta Hawks;;;;1
Wed Jan 21 2015;;Miami Heat;;Charlotte Hornets;;;;0
Wed Jan 21 2015;;Utah Jazz;;Cleveland Cavaliers;;;;0
Wed Jan 21 2015;;Orlando Magic;;Detroit Pistons;;;;0
Wed Jan 21 2015;;Houston Rockets;;Golden State Warriors;;;;0
Wed Jan 21 2015;;Toronto Raptors;;Memphis Grizzlies;;;;1
Wed Jan 21 2015;;Dallas Mavericks;;Minnesota Timberwolves;;;;0
Wed Jan 21 2015;;Los Angeles Lakers;;New Orleans Pelicans;;;;1
Wed Jan 21 2015;;New York Knicks;;Philadelphia 76ers;;;;1
Wed Jan 21 2015;;Portland Trail Blazers;;Phoenix Suns;;;;0
Wed Jan 21 2015;;Brooklyn Nets;;Sacramento Kings;;;;0
Wed Jan 21 2015;;Oklahoma City Thunder;;Washington Wizards;;;;0
Thu Jan 22 2015;;San Antonio Spurs;;Chicago Bulls;;;;0
Thu Jan 22 2015;;Brooklyn Nets;;Los Angeles Clippers;;;;0
Thu Jan 22 2015;;Utah Jazz;;Milwaukee Bucks;;;;0
Thu Jan 22 2015;;Boston Celtics;;Portland Trail Blazers;;;;0
Fri Jan 23 2015;;Oklahoma City Thunder;;Atlanta Hawks;;;;0
Fri Jan 23 2015;;Charlotte Hornets;;Cleveland Cavaliers;;;;0
Fri Jan 23 2015;;Chicago Bulls;;Dallas Mavericks;;;;0
Fri Jan 23 2015;;Boston Celtics;;Denver Nuggets;;;;0
Fri Jan 23 2015;;Sacramento Kings;;Golden State Warriors;;;;0
Fri Jan 23 2015;;Indiana Pacers;;Miami Heat;;;;1
Fri Jan 23 2015;;New Orleans Pelicans;;Minnesota Timberwolves;;;;0
Fri Jan 23 2015;;Orlando Magic;;New York Knicks;;;;1
Fri Jan 23 2015;;Toronto Raptors;;Philadelphia 76ers;;;;1
Fri Jan 23 2015;;Houston Rockets;;Phoenix Suns;;;;0
Fri Jan 23 2015;;Los Angeles Lakers;;San Antonio Spurs;;;;0
Sat Jan 24 2015;;New York Knicks;;Charlotte Hornets;;;;0
Sat Jan 24 2015;;Philadelphia 76ers;;Memphis Grizzlies;;;;0
Sat Jan 24 2015;;Detroit Pistons;;Milwaukee Bucks;;;;0
Sat Jan 24 2015;;Washington Wizards;;Portland Trail Blazers;;;;0
Sat Jan 24 2015;;Brooklyn Nets;;Utah Jazz;;;;0
Sun Jan 25 2015;;Minnesota Timberwolves;;Atlanta Hawks;;;;0
Sun Jan 25 2015;;Miami Heat;;Chicago Bulls;;;;0
Sun Jan 25 2015;;Oklahoma City Thunder;;Cleveland Cavaliers;;;;1
Sun Jan 25 2015;;Washington Wizards;;Denver Nuggets;;;;0
Sun Jan 25 2015;;Boston Celtics;;Golden State Warriors;;;;1
Sun Jan 25 2015;;Houston Rockets;;Los Angeles Lakers;;;;1
Sun Jan 25 2015;;Dallas Mavericks;;New Orleans Pelicans;;;;0
Sun Jan 25 2015;;Indiana Pacers;;Orlando Magic;;;;1
Sun Jan 25 2015;;Los Angeles Clippers;;Phoenix Suns;;;;0
Sun Jan 25 2015;;Milwaukee Bucks;;San Antonio Spurs;;;;0
Sun Jan 25 2015;;Detroit Pistons;;Toronto Raptors;;;;1
Mon Jan 26 2015;;Portland Trail Blazers;;Brooklyn Nets;;;;0
Mon Jan 26 2015;;Denver Nuggets;;Los Angeles Clippers;;;;0
Mon Jan 26 2015;;Orlando Magic;;Memphis Grizzlies;;;;0
Mon Jan 26 2015;;Philadelphia 76ers;;New Orleans Pelicans;;;;1
Mon Jan 26 2015;;Sacramento Kings;;New York Knicks;;;;0
Mon Jan 26 2015;;Minnesota Timberwolves;;Oklahoma City Thunder;;;;1
Mon Jan 26 2015;;Boston Celtics;;Utah Jazz;;;;0
Tue Jan 27 2015;;Memphis Grizzlies;;Dallas Mavericks;;;;1
Tue Jan 27 2015;;Cleveland Cavaliers;;Detroit Pistons;;;;0
Tue Jan 27 2015;;Chicago Bulls;;Golden State Warriors;;;;1
Tue Jan 27 2015;;Toronto Raptors;;Indiana Pacers;;;;1
Tue Jan 27 2015;;Washington Wizards;;Los Angeles Lakers;;;;0
Tue Jan 27 2015;;Milwaukee Bucks;;Miami Heat;;;;0
Wed Jan 28 2015;;Brooklyn Nets;;Atlanta Hawks;;;;0
